Index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,
Name,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,
Time,20220317082042,20220317082130,20220317091327,20220317093224,20220317093224,20220317093224,20220317104709,20220317105109,20220317105109,20220317105109,20220317105109,20220317114939,20220317114939,20220317114939,20220317114939,20220317114939,20220317114939,20220317114939,
Highcut,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,
Lowcut,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,
Period,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,
Averages,101,84,38,15,29,57,48,30,41,58,67,13,23,28,37,37,43,43,
Int (mA),45/45mA,55/55mA,55/55mA,55/55mA,55/55mA,55/55mA,55/55mA,55/55mA,55/55mA,55/55mA,55/55mA,45/45mA,45/45mA,45/45mA,45/45mA,45/45mA,45/45mA,45/45mA,
Pulse Width (µs),250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,
Rep Rate (Hz),2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,
Data21,0.027950,0.077022,0.026101,0.218204,-0.091554,0.005086,-0.034810,0.026131,-0.016887,-0.014536,-0.026760,-0.190811,-0.120082,-0.081745,-0.083254,-0.083254,-0.091820,-0.091820,
Data22,0.019640,0.070119,0.002811,0.230920,-0.087871,0.005086,-0.053089,0.021871,-0.020469,-0.017265,-0.029579,-0.186483,-0.115396,-0.077589,-0.078409,-0.078409,-0.090534,-0.090534,
Data23,0.010576,0.062126,-0.019877,0.241855,-0.084188,0.004283,-0.072162,0.017166,-0.024284,-0.020159,-0.032425,-0.180761,-0.109384,-0.072310,-0.072532,-0.072532,-0.088360,-0.088360,
Data24,0.001360,0.053770,-0.041962,0.251265,-0.080768,0.002945,-0.091395,0.011953,-0.028425,-0.023217,-0.035301,-0.173755,-0.102169,-0.066009,-0.065676,-0.065676,-0.085388,-0.085388,
Data25,-0.008007,0.044687,-0.062843,0.259149,-0.077347,0.001339,-0.110787,0.006358,-0.032798,-0.026473,-0.038204,-0.165575,-0.093752,-0.058788,-0.057891,-0.057891,-0.081618,-0.081618,
Data26,-0.017223,0.035604,-0.082519,0.266016,-0.073664,-0.000268,-0.129861,0.000254,-0.037450,-0.029926,-0.041165,-0.156295,-0.084298,-0.050716,-0.049334,-0.049334,-0.077227,-0.077227,
Data27,-0.026439,0.026522,-0.100388,0.271356,-0.069718,-0.002142,-0.148617,-0.006167,-0.042288,-0.033511,-0.044154,-0.146098,-0.073932,-0.041962,-0.040055,-0.040055,-0.072259,-0.072259,
Data28,-0.035504,0.017439,-0.116651,0.275680,-0.065772,-0.004283,-0.167055,-0.012907,-0.047266,-0.037194,-0.047144,-0.135130,-0.062736,-0.032630,-0.030209,-0.030209,-0.066803,-0.066803,
Data29,-0.044266,0.008356,-0.131107,0.278477,-0.061562,-0.006693,-0.184857,-0.019964,-0.052337,-0.040910,-0.050104,-0.123503,-0.050877,-0.022820,-0.019899,-0.019899,-0.060903,-0.060903,
Data30,-0.052576,-0.000363,-0.143957,0.280257,-0.057616,-0.009370,-0.202182,-0.027148,-0.057454,-0.044692,-0.053008,-0.111398,-0.038521,-0.012636,-0.009228,-0.009228,-0.054693,-0.054693,
Data31,-0.060583,-0.009083,-0.154799,0.280512,-0.053670,-0.012047,-0.218713,-0.034587,-0.062618,-0.048474,-0.055855,-0.098927,-0.025750,-0.002214,0.001701,0.001701,-0.048261,-0.048261,
Data32,-0.067835,-0.017439,-0.163633,0.280003,-0.049460,-0.014456,-0.234290,-0.042089,-0.067782,-0.052190,-0.058616,-0.086309,-0.012771,0.008243,0.012836,0.012836,-0.041696,-0.041696,
Data33,-0.074180,-0.025068,-0.170259,0.278731,-0.045251,-0.016865,-0.248754,-0.049655,-0.072853,-0.055840,-0.061264,-0.073727,0.000207,0.018665,0.023920,0.023920,-0.035131,-0.035131,
Data34,-0.079770,-0.031971,-0.174876,0.276697,-0.041042,-0.019275,-0.261947,-0.057158,-0.077830,-0.059392,-0.063826,-0.061293,0.013061,0.028849,0.034848,0.034848,-0.028655,-0.028655,
Data35,-0.084604,-0.038874,-0.177687,0.273899,-0.036569,-0.021148,-0.273868,-0.064660,-0.082622,-0.062779,-0.066246,-0.049188,0.025667,0.038693,0.045519,0.045519,-0.022401,-0.022401,
Data36,-0.088684,-0.044687,-0.178490,0.270339,-0.032097,-0.023290,-0.284517,-0.071908,-0.087181,-0.065969,-0.068552,-0.037524,0.037816,0.048127,0.055778,0.055778,-0.016412,-0.016412,
Data37,-0.092007,-0.050500,-0.177687,0.266016,-0.027887,-0.025164,-0.294054,-0.078965,-0.091461,-0.068962,-0.070658,-0.026373,0.049384,0.056983,0.065573,0.065573,-0.010823,-0.010823,
Data38,-0.094576,-0.055950,-0.175680,0.261184,-0.023941,-0.027038,-0.302319,-0.085768,-0.095462,-0.071658,-0.072594,-0.015846,0.060331,0.065260,0.074749,0.074749,-0.005633,-0.005633,
Data39,-0.096540,-0.061036,-0.172066,0.255589,-0.020521,-0.028912,-0.309631,-0.092254,-0.099091,-0.074092,-0.074331,-0.006016,0.070490,0.072889,0.083358,0.083358,-0.000887,-0.000887,
Data40,-0.097899,-0.065759,-0.167648,0.249485,-0.017101,-0.030786,-0.315512,-0.098484,-0.102394,-0.076196,-0.075840,0.003008,0.079778,0.079735,0.091245,0.091245,0.003327,0.003327,
Data41,-0.098655,-0.070482,-0.162027,0.243127,-0.014207,-0.032660,-0.320439,-0.104397,-0.105371,-0.077972,-0.077178,0.011224,0.088113,0.085798,0.098359,0.098359,0.007097,0.007097,
Data42,-0.098806,-0.075205,-0.155602,0.236261,-0.011313,-0.034534,-0.324095,-0.109929,-0.107930,-0.079452,-0.078316,0.018524,0.095369,0.091009,0.104700,0.104700,0.010291,0.010291,
Data43,-0.098504,-0.079565,-0.148575,0.229394,-0.008945,-0.036407,-0.326797,-0.115142,-0.110116,-0.080570,-0.079256,0.024869,0.101506,0.095267,0.110112,0.110112,0.012997,0.012997,
Data44,-0.097748,-0.084288,-0.141347,0.222019,-0.006840,-0.038281,-0.328546,-0.120101,-0.111977,-0.081360,-0.080024,0.030261,0.106440,0.098639,0.114700,0.114700,0.015082,0.015082,
Data45,-0.096842,-0.088648,-0.133717,0.214898,-0.005262,-0.040155,-0.329500,-0.124679,-0.113466,-0.081820,-0.080622,0.034663,0.110172,0.101057,0.118412,0.118412,0.016678,0.016678,
Data46,-0.095784,-0.093734,-0.126288,0.207523,-0.003946,-0.042297,-0.329658,-0.129066,-0.114582,-0.081984,-0.081049,0.038111,0.112743,0.102590,0.121196,0.121196,0.017743,0.017743,
Data47,-0.094425,-0.098457,-0.118860,0.200148,-0.002894,-0.044439,-0.329023,-0.133135,-0.115420,-0.081886,-0.081334,0.040642,0.114152,0.103271,0.123155,0.123155,0.018275,0.018275,
Data48,-0.092914,-0.103543,-0.111431,0.192772,-0.002105,-0.046312,-0.327751,-0.137077,-0.115931,-0.081491,-0.081505,0.042329,0.114484,0.103169,0.124289,0.124289,0.018408,0.018408,
Data49,-0.091252,-0.108630,-0.104605,0.185651,-0.001579,-0.048454,-0.325844,-0.140828,-0.116210,-0.080932,-0.081562,0.043246,0.113821,0.102317,0.124701,0.124701,0.018098,0.018098,
Data50,-0.089439,-0.113716,-0.097778,0.178785,-0.001052,-0.050596,-0.323142,-0.144516,-0.116210,-0.080143,-0.081533,0.043466,0.112245,0.100750,0.124340,0.124340,0.017477,0.017477,
Data51,-0.087475,-0.118802,-0.091353,0.172173,-0.000526,-0.052202,-0.319804,-0.148076,-0.116024,-0.079189,-0.081419,0.043026,0.109757,0.098571,0.123309,0.123309,0.016457,0.016457,
Data52,-0.085209,-0.123525,-0.085330,0.166323,0.000000,-0.053808,-0.315512,-0.151509,-0.115606,-0.078071,-0.081249,0.041999,0.106399,0.095744,0.121660,0.121660,0.015170,0.015170,
Data53,-0.082640,-0.127885,-0.079307,0.160728,0.000526,-0.055147,-0.310585,-0.154879,-0.115047,-0.076821,-0.081021,0.040385,0.102293,0.092372,0.119340,0.119340,0.013573,0.013573,
Data54,-0.079921,-0.132245,-0.073685,0.155896,0.001579,-0.056217,-0.304863,-0.158185,-0.114257,-0.075440,-0.080708,0.038221,0.097442,0.088421,0.116402,0.116402,0.011710,0.011710,
Data55,-0.076899,-0.135878,-0.068264,0.151319,0.002894,-0.056753,-0.298346,-0.161364,-0.113280,-0.073927,-0.080366,0.035507,0.091927,0.083925,0.112948,0.112948,0.009670,0.009670,
Data56,-0.073878,-0.139148,-0.063245,0.147250,0.004209,-0.057288,-0.291352,-0.164480,-0.112163,-0.072316,-0.079939,0.032352,0.085832,0.079020,0.108978,0.108978,0.007408,0.007408,
Data57,-0.070554,-0.142054,-0.058627,0.143689,0.006051,-0.057556,-0.283563,-0.167531,-0.110861,-0.070639,-0.079455,0.028757,0.079281,0.073707,0.104545,0.104545,0.005057,0.005057,
Data58,-0.067079,-0.144597,-0.054009,0.140383,0.007893,-0.057556,-0.275298,-0.170520,-0.109372,-0.068830,-0.078914,0.024833,0.072314,0.068053,0.099802,0.099802,0.002617,0.002617,
Data59,-0.063000,-0.146414,-0.049190,0.137586,0.010260,-0.057021,-0.265920,-0.173381,-0.107744,-0.066956,-0.078288,0.020541,0.065017,0.062092,0.094699,0.094699,0.000089,0.000089,
Data60,-0.058468,-0.147141,-0.044372,0.135551,0.013154,-0.055950,-0.255589,-0.176115,-0.105976,-0.065015,-0.077605,0.015956,0.057429,0.055825,0.089234,0.089234,-0.002440,-0.002440,
Data61,-0.053180,-0.146777,-0.038951,0.134025,0.016574,-0.054344,-0.244144,-0.178658,-0.103975,-0.063009,-0.076864,0.011077,0.049592,0.049285,0.083461,0.083461,-0.005145,-0.005145,
Data62,-0.046986,-0.144961,-0.032927,0.133262,0.020784,-0.051934,-0.231428,-0.180883,-0.101789,-0.060905,-0.076010,0.005832,0.041465,0.042405,0.077378,0.077378,-0.007940,-0.007940,
Data63,-0.040187,-0.142054,-0.026703,0.133008,0.025256,-0.048989,-0.217759,-0.182790,-0.099323,-0.058701,-0.075043,0.000257,0.033047,0.035218,0.070882,0.070882,-0.010868,-0.010868,
Data64,-0.032935,-0.138421,-0.019877,0.133008,0.030255,-0.045509,-0.203136,-0.184189,-0.096532,-0.056333,-0.073904,-0.005649,0.024381,0.027691,0.064129,0.064129,-0.013928,-0.013928,
Data65,-0.025230,-0.134061,-0.013050,0.133262,0.035254,-0.042029,-0.187877,-0.185016,-0.093368,-0.053801,-0.072594,-0.011921,0.015508,0.019891,0.057015,0.057015,-0.017078,-0.017078,
Data66,-0.017072,-0.128612,-0.005823,0.133262,0.039989,-0.038281,-0.171823,-0.185334,-0.089879,-0.051072,-0.071085,-0.018450,0.006468,0.011853,0.049695,0.049695,-0.020316,-0.020316,
Data67,-0.008460,-0.122435,0.001606,0.133262,0.044988,-0.034266,-0.154974,-0.185016,-0.086018,-0.048145,-0.069349,-0.025273,-0.002737,0.003542,0.042117,0.042117,-0.023643,-0.023643,
Data68,0.000453,-0.115533,0.009637,0.133008,0.049986,-0.029983,-0.137331,-0.184062,-0.081831,-0.045021,-0.067385,-0.032352,-0.012108,-0.004939,0.034281,0.034281,-0.027014,-0.027014,
Data69,0.010273,-0.107540,0.018271,0.133008,0.054722,-0.025432,-0.118734,-0.182409,-0.077226,-0.041666,-0.065192,-0.039688,-0.021728,-0.013692,0.026188,0.026188,-0.030518,-0.030518,
Data70,0.020547,-0.098457,0.027506,0.133008,0.059721,-0.020345,-0.099343,-0.180056,-0.072248,-0.038082,-0.062773,-0.047281,-0.031555,-0.022718,0.017785,0.017785,-0.034200,-0.034200,
Data71,0.031273,-0.089011,0.036943,0.132753,0.064456,-0.015527,-0.079315,-0.176814,-0.066851,-0.034300,-0.060154,-0.055094,-0.041548,-0.031983,0.009176,0.009176,-0.037970,-0.037970,
Data72,0.041849,-0.079202,0.046379,0.131991,0.068403,-0.010708,-0.059129,-0.172808,-0.061036,-0.030288,-0.057278,-0.063054,-0.051748,-0.041417,0.000309,0.000309,-0.041874,-0.041874,
Data73,0.052122,-0.069392,0.055615,0.130719,0.071823,-0.006425,-0.039101,-0.167913,-0.054849,-0.026046,-0.054175,-0.071087,-0.061990,-0.050920,-0.008661,-0.008661,-0.045821,-0.045821,
Data74,0.062094,-0.059583,0.064449,0.128430,0.073927,-0.002677,-0.019074,-0.162254,-0.048289,-0.021606,-0.050844,-0.079083,-0.072273,-0.060457,-0.017785,-0.017785,-0.049769,-0.049769,
Data75,0.071612,-0.050500,0.072882,0.125378,0.075243,0.000535,0.000477,-0.155896,-0.041404,-0.017002,-0.047314,-0.086932,-0.082515,-0.069892,-0.026858,-0.026858,-0.053628,-0.053628,
Data76,0.080827,-0.041417,0.080913,0.121564,0.075769,0.003212,0.019869,-0.148775,-0.034286,-0.012234,-0.043613,-0.094525,-0.092715,-0.079224,-0.035931,-0.035931,-0.057354,-0.057354,
Data77,0.089741,-0.032335,0.088743,0.116986,0.075243,0.005354,0.039101,-0.141082,-0.026936,-0.007366,-0.039713,-0.101935,-0.102833,-0.088421,-0.044901,-0.044901,-0.060947,-0.060947,
Data78,0.098051,-0.023615,0.096172,0.112154,0.073927,0.007496,0.057857,-0.132817,-0.019399,-0.002401,-0.035699,-0.109087,-0.112867,-0.097447,-0.053871,-0.053871,-0.064452,-0.064452,
Data79,0.105907,-0.014896,0.103199,0.106559,0.071560,0.008834,0.075977,-0.123980,-0.011770,0.002598,-0.031571,-0.115873,-0.122736,-0.106234,-0.062686,-0.062686,-0.067778,-0.067778,
Data80,0.112856,-0.007266,0.109423,0.100710,0.068403,0.009637,0.093303,-0.114697,-0.004001,0.007597,-0.027387,-0.122182,-0.132314,-0.114681,-0.071295,-0.071295,-0.070928,-0.070928,
Data81,0.118748,0.000000,0.114643,0.094097,0.064193,0.009905,0.109674,-0.105097,0.003722,0.012562,-0.023145,-0.127868,-0.141561,-0.122651,-0.079646,-0.079646,-0.073767,-0.073767,
Data82,0.123734,0.006176,0.118860,0.086722,0.059194,0.009370,0.124933,-0.095178,0.011444,0.017429,-0.018931,-0.132783,-0.150268,-0.130076,-0.087636,-0.087636,-0.076251,-0.076251,
Data83,0.127662,0.011989,0.122072,0.079093,0.053143,0.008299,0.139080,-0.085196,0.019027,0.022165,-0.014718,-0.136818,-0.158354,-0.136854,-0.095163,-0.095163,-0.078380,-0.078380,
Data84,0.130684,0.017076,0.124281,0.070954,0.046303,0.006693,0.152272,-0.075214,0.026424,0.026670,-0.010619,-0.139789,-0.165776,-0.142883,-0.102225,-0.102225,-0.080154,-0.080154,
Data85,0.132950,0.022162,0.125485,0.062816,0.038937,0.004819,0.164670,-0.065296,0.033495,0.030913,-0.006605,-0.141733,-0.172452,-0.148230,-0.108824,-0.108824,-0.081485,-0.081485,
Data86,0.134461,0.026522,0.126088,0.054678,0.031307,0.002945,0.176115,-0.055505,0.040241,0.034859,-0.002761,-0.142540,-0.178381,-0.152829,-0.114907,-0.114907,-0.082416,-0.082416,
